"Edad","n","mx","qx","px","ax","lx","dx","Lx","Tx","ex"
0,1,0.011875,0.011747,0.988253,0.09,1e+05,1175,98927,7943759,79.44
1,4,0.000572,0.002284,0.997716,1.5,98825,226,394738,7844832,79.38
5,5,0.000212,0.001061,0.998939,2.5,98600,105,492736,7450094,75.56
10,5,0.000206,0.001032,0.998968,2.5,98495,102,492220,6957358,70.64
15,5,0.000354,0.001768,0.998232,2.5,98393,174,491531,6465138,65.71
20,5,0.000443,0.002211,0.997789,2.5,98219,217,490553,5973607,60.82
25,5,0.000717,0.003581,0.996419,2.5,98002,351,489133,5483053,55.95
30,5,0.000993,0.00495,0.99505,2.5,97651,483,487047,4993920,51.14
35,5,0.000832,0.00415,0.99585,2.5,97168,403,484831,4506873,46.38
40,5,0.001423,0.007091,0.992909,2.5,96765,686,482107,4022042,41.57
45,5,0.002325,0.011556,0.988444,2.5,96078,1110,477616,3539935,36.84
50,5,0.003179,0.01577,0.98423,2.5,94968,1498,471096,3062318,32.25
55,5,0.006106,0.030073,0.969927,2.5,93471,2811,460325,2591222,27.72
60,5,0.00914,0.044678,0.955322,2.5,90660,4050,443171,2130897,23.5
65,5,0.016018,0.077004,0.922996,2.5,86609,6669,416372,1687726,19.49
70,5,0.024295,0.114519,0.885481,2.5,79940,9155,376812,1271354,15.9
75,5,0.042308,0.191305,0.808695,2.5,70785,13542,320072,894542,12.64
80,5,0.058358,0.254639,0.745361,2.5,57244,14576,249777,574470,10.04
85,NA,0.131408,1,0,NA,42667,42667,324693,324693,7.61
