"Edad","n","mx","qx","px","ax","lx","dx","Lx","Tx","ex"
0,1,0.009605,0.00952,0.99048,0.07,1e+05,952,99115,7122840,71.23
1,4,5e-04,0.001998,0.998002,1.62,99048,198,395722,7023724,70.91
5,5,0.000196,0.000978,0.999022,2.5,98850,97,494009,6628003,67.05
10,5,0.000226,0.001129,0.998871,2.5,98753,111,493489,6133994,62.11
15,5,0.001819,0.009056,0.990944,2.5,98642,893,490976,5640505,57.18
20,5,0.004179,0.020678,0.979322,2.5,97749,2021,483690,5149529,52.68
25,5,0.005135,0.025348,0.974652,2.5,95727,2426,472571,4665839,48.74
30,5,0.005055,0.024962,0.975038,2.5,93301,2329,460682,4193268,44.94
35,5,0.004761,0.023524,0.976476,2.5,90972,2140,449509,3732587,41.03
40,5,0.006298,0.031001,0.968999,2.5,88832,2754,437275,3283077,36.96
45,5,0.00669,0.032899,0.967101,2.5,86078,2832,423310,2845803,33.06
50,5,0.008233,0.040335,0.959665,2.5,83246,3358,407836,2422493,29.1
55,5,0.012302,0.059677,0.940323,2.5,79888,4767,387523,2014657,25.22
60,5,0.016714,0.080218,0.919782,2.5,75121,6026,360539,1627134,21.66
65,5,0.018872,0.090108,0.909892,2.5,69095,6226,329909,1266595,18.33
70,5,0.028894,0.134739,0.865261,2.5,62869,8471,293167,936686,14.9
75,5,0.047994,0.214262,0.785738,2.5,54398,11655,242851,643520,11.83
80,5,0.061666,0.267144,0.732856,2.5,42743,11418,185166,400669,9.37
85,NA,0.145354,1,0,NA,31324,31324,215502,215502,6.88
