"Edad","n","mx","qx","px","ax","lx","dx","Lx","Tx","ex"
0,1,0.010805,0.010698,0.989302,0.07,1e+05,1070,99009,6588000,65.88
1,4,0.000511,0.002041,0.997959,1.62,98930,202,395240,6488991,65.59
5,5,0.000293,0.001466,0.998534,2.5,98728,145,493280,6093750,61.72
10,5,0.000258,0.001291,0.998709,2.5,98584,127,492600,5600471,56.81
15,5,0.001638,0.008155,0.991845,2.5,98456,803,490274,5107871,51.88
20,5,0.00415,0.020538,0.979462,2.5,97653,2006,483253,4617597,47.29
25,5,0.005462,0.02694,0.97306,2.5,95648,2577,471797,4134344,43.22
30,5,0.005514,0.027194,0.972806,2.5,93071,2531,459027,3662547,39.35
35,5,0.006924,0.03403,0.96597,2.5,90540,3081,444997,3203520,35.38
40,5,0.007852,0.038504,0.961496,2.5,87459,3368,428876,2758523,31.54
45,5,0.008538,0.041798,0.958202,2.5,84091,3515,411670,2329647,27.7
50,5,0.013338,0.06454,0.93546,2.5,80577,5200,389882,1917977,23.8
55,5,0.017802,0.085218,0.914782,2.5,75376,6423,360822,1528095,20.27
60,5,0.02522,0.118623,0.881377,2.5,68953,8179,324315,1167273,16.93
65,5,0.038757,0.176667,0.823333,2.5,60773,10737,277025,842958,13.87
70,5,0.051459,0.227966,0.772034,2.5,50037,11407,221667,565932,11.31
75,5,0.072032,0.3052,0.6948,2.5,38630,11790,163676,344265,8.91
80,5,0.109236,0.429019,0.570981,2.5,26840,11515,105413,180589,6.73
85,NA,0.203858,1,0,NA,15325,15325,75176,75176,4.91
