"Edad","n","mx","qx","px","ax","lx","dx","Lx","Tx","ex"
0,1,0.007953,0.007895,0.992105,0.08,1e+05,790,99270,7495130,74.95
1,4,0.000238,0.000951,0.999049,1.51,99210,94,396607,7395860,74.55
5,5,0.00034,0.001698,0.998302,2.5,99116,168,495160,6999253,70.62
10,5,0.000333,0.001663,0.998337,2.5,98948,165,494328,6504093,65.73
15,5,0.000601,0.003002,0.996998,2.5,98783,297,493175,6009765,60.84
20,5,0.000675,0.003369,0.996631,2.5,98487,332,491604,5516590,56.01
25,5,0.001174,0.005852,0.994148,2.5,98155,574,489339,5024986,51.19
30,5,0.001549,0.007715,0.992285,2.5,97581,753,486020,4535647,46.48
35,5,0.002078,0.010338,0.989662,2.5,96828,1001,481636,4049627,41.82
40,5,0.00239,0.011881,0.988119,2.5,95827,1139,476287,3567991,37.23
45,5,0.004578,0.022631,0.977369,2.5,94688,2143,468084,3091704,32.65
50,5,0.006633,0.032624,0.967376,2.5,92545,3019,455178,2623620,28.35
55,5,0.010441,0.050879,0.949121,2.5,89526,4555,436243,2168442,24.22
60,5,0.014108,0.068137,0.931863,2.5,84971,5790,410381,1732199,20.39
65,5,0.023658,0.111685,0.888315,2.5,79181,8843,373799,1321817,16.69
70,5,0.036582,0.167585,0.832415,2.5,70338,11788,322221,948018,13.48
75,5,0.052378,0.231567,0.768433,2.5,58550,13558,258856,625797,10.69
80,5,0.078627,0.328551,0.671449,2.5,44992,14782,188005,366941,8.16
85,NA,0.168831,1,0,NA,30210,30210,178936,178936,5.92
